date,sustainable_fashion,ethical_clothing,slow_fashion,circular_fashion,fast_fashion,geo,source,note
2021-10-17,30.8,23.8,10.1,7.0,56.5,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2021-10-24,29.2,19.3,16.4,5.6,55.8,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2021-10-31,34.7,15.4,7.3,3.6,62.3,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2021-11-07,30.0,21.3,13.8,0.0,61.0,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2021-11-14,28.2,20.3,9.4,5.8,47.8,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2021-11-21,39.9,17.2,11.7,5.0,66.2,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2021-11-28,33.3,19.9,14.7,5.4,65.7,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2021-12-05,34.7,18.2,11.1,0.0,53.8,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2021-12-12,28.9,20.3,13.2,0.2,60.1,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2021-12-19,32.6,22.5,18.8,8.8,60.8,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2021-12-26,35.5,26.3,12.6,4.6,59.5,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-01-02,30.6,15.1,18.4,7.6,54.7,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-01-09,36.9,28.6,10.6,5.1,54.1,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-01-16,33.2,12.4,17.4,5.2,58.1,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-01-23,34.6,19.7,21.2,8.9,65.4,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-01-30,33.6,22.7,5.6,3.2,61.8,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-02-06,43.6,21.5,12.4,5.8,56.4,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-02-13,36.4,18.0,18.1,3.7,63.4,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-02-20,32.4,19.7,15.1,3.9,41.8,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-02-27,40.1,18.7,17.5,4.5,65.9,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-03-06,32.1,18.4,13.7,6.7,48.7,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-03-13,38.0,24.2,16.6,4.0,57.0,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-03-20,29.6,22.3,15.7,11.1,52.6,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-03-27,32.3,18.2,21.1,2.6,51.7,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-04-03,38.6,24.6,17.6,5.5,66.5,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-04-10,41.0,22.4,18.0,4.6,56.9,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-04-17,38.9,24.5,15.2,12.3,61.9,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-04-24,38.0,23.8,15.0,7.4,59.6,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-05-01,37.4,18.0,15.3,10.8,62.9,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-05-08,32.9,19.2,18.7,0.9,60.6,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-05-15,36.1,24.5,15.6,8.0,52.6,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-05-22,37.4,24.0,18.5,10.6,66.4,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-05-29,43.6,21.6,25.8,7.5,57.5,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-06-05,41.0,22.2,21.1,11.5,51.3,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-06-12,32.8,26.9,16.4,5.3,58.2,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-06-19,41.3,19.5,22.7,13.1,69.9,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-06-26,38.7,24.2,16.3,16.8,66.1,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-07-03,37.7,21.3,9.9,6.2,59.0,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-07-10,43.1,21.3,14.2,6.0,59.1,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-07-17,44.9,26.6,10.8,13.7,59.4,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-07-24,44.7,25.6,17.0,14.3,73.9,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-07-31,37.9,25.6,18.6,6.0,63.9,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-08-07,40.2,27.7,25.4,6.6,64.3,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-08-14,42.9,22.6,20.1,7.2,68.0,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-08-21,45.7,25.3,18.0,3.1,63.3,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-08-28,40.1,21.4,22.3,4.9,60.5,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-09-04,41.5,24.1,10.3,4.7,61.0,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-09-11,38.0,22.3,20.2,5.7,61.8,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-09-18,37.8,23.3,22.5,8.8,62.2,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-09-25,46.1,25.4,13.6,9.9,66.9,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-10-02,48.4,19.8,24.2,15.3,62.9,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-10-09,42.9,31.5,21.1,5.2,67.1,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-10-16,47.4,19.2,18.2,13.3,62.4,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-10-23,45.1,18.5,22.5,8.6,63.4,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-10-30,41.2,28.0,29.2,9.3,51.1,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-11-06,45.5,26.6,20.9,12.4,68.7,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-11-13,50.4,26.0,21.3,5.3,65.4,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-11-20,44.3,26.1,18.6,11.4,69.4,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-11-27,50.9,23.7,17.2,10.7,46.2,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-12-04,34.3,20.2,24.0,12.1,76.2,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-12-11,48.3,24.2,17.4,11.4,63.0,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-12-18,45.6,21.2,21.2,20.1,70.6,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2022-12-25,44.2,27.9,19.1,7.9,57.8,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-01-01,46.0,23.5,23.1,8.4,67.8,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-01-08,37.9,20.9,22.6,8.1,57.9,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-01-15,45.1,23.0,25.5,8.5,60.6,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-01-22,47.7,26.0,19.5,8.3,76.0,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-01-29,52.3,22.2,20.5,15.7,63.5,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-02-05,44.6,21.2,17.8,16.8,66.0,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-02-12,43.6,25.5,20.1,8.9,70.1,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-02-19,45.0,25.6,23.5,8.0,67.9,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-02-26,50.9,22.7,25.1,13.3,66.0,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-03-05,48.7,22.9,18.5,9.3,67.4,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-03-12,45.5,25.8,25.8,14.2,79.7,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-03-19,49.9,19.2,27.9,12.5,65.1,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-03-26,48.4,19.4,24.2,5.8,66.8,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-04-02,52.1,22.2,30.2,18.1,72.0,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-04-09,45.6,24.3,19.7,19.2,72.4,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-04-16,47.3,26.5,17.9,9.7,73.0,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-04-23,47.3,31.2,15.9,10.7,69.8,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-04-30,43.2,28.9,29.1,13.5,59.3,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-05-07,50.4,24.9,25.9,13.8,76.1,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-05-14,50.5,25.5,23.1,15.2,59.5,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-05-21,49.6,21.6,24.6,20.8,68.3,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-05-28,48.9,25.7,19.1,12.1,62.1,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-06-04,44.4,24.7,33.5,9.7,66.3,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-06-11,48.5,27.2,24.4,7.5,68.8,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-06-18,49.1,22.7,24.4,10.2,68.9,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-06-25,47.4,28.1,27.0,13.1,69.6,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-07-02,50.2,32.3,26.1,20.6,76.9,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-07-09,52.6,25.8,25.2,11.4,70.0,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-07-16,58.8,27.9,21.3,14.5,66.0,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-07-23,52.1,29.1,26.4,13.6,73.3,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-07-30,52.7,24.8,32.2,18.6,74.8,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-08-06,51.5,27.4,30.2,24.0,60.4,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-08-13,44.4,26.6,31.3,11.9,71.5,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-08-20,52.1,27.1,23.0,12.2,72.2,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-08-27,52.7,23.7,21.2,18.4,66.3,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-09-03,62.5,26.9,24.7,17.1,76.5,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-09-10,52.1,28.9,25.6,21.9,67.5,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-09-17,54.2,32.8,29.9,16.9,69.2,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-09-24,53.1,30.9,18.8,13.3,67.6,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-10-01,48.8,35.8,31.8,17.2,68.8,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-10-08,58.2,24.1,25.2,19.3,62.3,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-10-15,56.8,30.8,24.2,18.3,60.3,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-10-22,57.2,28.1,22.0,17.2,78.6,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-10-29,50.6,36.2,19.6,19.5,64.1,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-11-05,60.0,24.3,29.6,20.0,63.3,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-11-12,49.0,24.3,26.7,21.0,56.5,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-11-19,57.2,25.3,21.4,18.2,65.7,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-11-26,63.8,19.3,21.5,15.0,61.7,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-12-03,51.3,25.7,25.4,16.4,79.6,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-12-10,53.2,24.9,33.6,20.7,75.9,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-12-17,56.0,28.6,26.0,12.7,65.9,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-12-24,53.8,29.4,21.1,17.6,83.6,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2023-12-31,49.8,35.7,26.3,14.6,76.1,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2024-01-07,56.5,32.0,26.3,16.4,68.4,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2024-01-14,52.2,26.0,16.7,21.6,55.5,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2024-01-21,58.5,24.8,27.4,17.3,84.3,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2024-01-28,53.2,30.4,26.8,16.8,62.4,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2024-02-04,63.2,23.3,30.6,11.3,60.9,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2024-02-11,54.1,36.0,35.3,19.9,77.1,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2024-02-18,56.2,33.4,32.6,19.6,85.7,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2024-02-25,60.9,26.9,27.1,25.7,79.5,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2024-03-03,52.9,22.0,23.9,16.0,74.7,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2024-03-10,59.0,34.4,38.7,18.2,75.0,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2024-03-17,63.5,28.6,28.8,18.4,76.6,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2024-03-24,52.0,34.0,28.7,23.8,76.2,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
