keyword,tier_number,tier_name,est_uk_vol_low,est_uk_vol_high,search_intent,competition,ecoglam_priority,source,validation_note
sustainable clothing made in UK,3,High Conversion Intent,300,500,Transactional,Low,Provenance signal,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
sustainable boots UK,3,High Conversion Intent,200,400,Transactional,Low,Forest Footstep launch,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
ethical active footwear UK,3,High Conversion Intent,100,200,Transactional,Very Low,Forest Footstep — low competition,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
buy sustainable fashion UK,3,High Conversion Intent,150,250,Transactional,Low,Bottom of funnel,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
slow fashion brands UK,3,High Conversion Intent,300,600,Commercial,Low,High-intent niche,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
circular fashion brands,4,Emerging 2025-2026,50,200,Emerging,Low,Early mover advantage,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
circular wardrobe,4,Emerging 2025-2026,20,100,Emerging,Low,Extension of circular fashion,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
regenerative fashion,4,Emerging 2025-2026,10,80,Emerging,Low,Next wave beyond circular,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
supply chain transparency fashion,4,Emerging 2025-2026,30,150,Growing,Low,Verification content,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
greenwashing fashion brands,4,Emerging 2025-2026,50,200,Exploding,Low,Greenwashing exposure content,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
cost per wear clothing,4,Emerging 2025-2026,80,250,Growing,Low,Rational value messaging,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
durable clothing UK,4,Emerging 2025-2026,60,180,Growing,Low,Post-cost-of-living driver,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
repair clothing UK,4,Emerging 2025-2026,40,120,Growing,Low,Circular behaviour content,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
